Input Device,Menu Type,Menu Depth,Target Item
Mouse,Marking,1,Clothing
Mouse,Radial,3,Jeans
Trackpad,Radial,1,Clothing
Trackpad,Marking,3,Jeans
Mouse,Marking,1,Food
Mouse,Marking,1,Food
Mouse,Marking,1,Continents
Mouse,Marking,1,Animals
Mouse,Marking,1,Continents
Mouse,Marking,2,America
Mouse,Marking,2,Mammals
Mouse,Marking,2,Shoes
Mouse,Marking,2,Reptiles
Mouse,Marking,2,America
Mouse,Marking,3,Penguin
Mouse,Marking,3,Hummingbird
Mouse,Marking,3,Yoghurt
Mouse,Marking,3,France
Mouse,Marking,3,Dogs
Mouse,Radial,1,Animals
Mouse,Radial,1,Food
Mouse,Radial,1,Continents
Mouse,Radial,1,Animals
Mouse,Radial,1,Continents
Mouse,Radial,2,Birds
Mouse,Radial,2,Dairy
Mouse,Radial,2,Africa
Mouse,Radial,2,Fish
Mouse,Radial,2,Bottoms
Mouse,Radial,3,Crocodile
Mouse,Radial,3,Butter
Mouse,Radial,3,Kenya
Mouse,Radial,3,Garlic
Mouse,Radial,3,Jeans
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Food
Trackpad,Marking,1,Clothing
Trackpad,Marking,1,Animals
Trackpad,Marking,1,Animals
Trackpad,Marking,2,Mammals
Trackpad,Marking,2,Fruit
Trackpad,Marking,2,Reptiles
Trackpad,Marking,2,America
Trackpad,Marking,2,Birds
Trackpad,Marking,3,Spain
Trackpad,Marking,3,Cheese
Trackpad,Marking,3,Pineapple
Trackpad,Marking,3,Garlic
Trackpad,Marking,3,Skirt
Trackpad,Radial,1,Food
Trackpad,Radial,1,Food
Trackpad,Radial,1,Animals
Trackpad,Radial,1,Clothing
Trackpad,Radial,1,Food
Trackpad,Radial,2,Birds
Trackpad,Radial,2,Dairy
Trackpad,Radial,2,Tops
Trackpad,Radial,2,Asia
Trackpad,Radial,2,Hats
Trackpad,Radial,3,Onion
Trackpad,Radial,3,Japan
Trackpad,Radial,3,Aligator
Trackpad,Radial,3,Heels
Trackpad,Radial,3,Strawberry